Year,Opec_avgUSD_per_Barrel
2019,61.29
2018,69.52
2017,52.51
2016,40.68
2015,49.49
2014,96.29
2013,105.87
2012,109.45
2011,107.46
2010,77.38
2009,60.86
2008,94.1
2007,69.04
2006,61
2005,50.59
2004,36.05
2003,28.1
2002,24.36
2001,23.12
2000,27.6
1999,17.44
1998,12.28
1997,18.86
1996,20.29
1995,16.86
1994,15.53
1993,16.33
1992,18.44
1991,18.62
1990,22.26
1989,17.31
1988,14.24
1987,17.73
1986,13.53
1985,27.01
1984,28.2
1983,29.04
1982,32.38
1981,34
1980,35.52
1979,29.19
1978,12.79
1977,12.5
1976,11.6
1975,10.43
1974,11
1973,2.7
1972,1.82
1971,1.7
1970,1.21
1969,1.27
1968,1.32
1967,1.33
1966,1.36
1965,1.42
1964,1.45
1963,1.5
1962,1.52
1961,1.57
1960,1.63
